-0.9921147014	0.1253332332	-302	-0.943
-0.9685831613	0.2486898867	-315	-0.984
-0.9297764858	0.3681245530	-314	-0.981
-0.8763066799	0.4817536743	-294	-0.921
-0.8090169943	0.5877852524	-300	-0.937
-0.7289686273	0.6845471060	-298	-0.931
-0.6374239896	0.7705132429	-260	-0.812
-0.5358267944	0.8443279258	-265	-0.828
-0.4257792911	0.9048270527	-242	-0.756
-0.3090169940	0.9510565164	-214	-0.671
-0.1873813144	0.9822872508	-214	-0.671
-0.06279052046	0.9980267284	-212	-0.662
0.06279052046	0.9980267284	-189	-0.593
0.1873813144	0.9822872508	-149	-0.468
0.3090169940	0.9510565164	-147	-0.462
0.4257792911	0.9048270527	-100	-0.312
0.5358267944	0.8443279258	-102	-0.318
0.6374239896	0.7705132429	-55	-0.171
0.7289686273	0.6845471060	-30	-0.093
0.8090169943	0.5877852524	-35	-0.109
0.8763066799	0.4817536743	0	0
0.9297764858	0.3681245530	30	0.093
0.9685831613	0.2486898867	76	0.237
0.9921147014	0.1253332332	82	0.256
1	0	180	0.556
0.9921147014	-0.1253332332	230	0.718
0.9685831613	-0.2486898867	250	0.781
0.9297764858	-0.3681245530	270	0.843
0.8763066799	-0.4817536743	260	0.812
0.8090169943	-0.5877852524	255	0.796
0.7289686273	-0.6845471060	260	0.812
0.6374239896	-0.7705132429	240	0.75
0.5358267944	-0.8443279258	235	0.734
0.4257792911	-0.9048270527	255	0.796
0.3090169940	-0.9510565164	218	0.681
0.1873813144	-0.9822872508	200	0.625
0.06279052046	-0.9980267284	210	0.656
-0.06279052046	-0.9980267284	195	0.609
-0.1873813144	-0.9822872508	130	0.406
-0.3090169940	-0.9510565164	105	0.328
-0.4257792911	-0.9048270527	60	0.187
-0.5358267944	-0.8443279258	20	0.0625
-0.6374239896	-0.7705132429	0	0
-0.7289686273	-0.6845471060	-90	-0.281
-0.8090169943	-0.5877852524	-90	-0.281
-0.8763066799	-0.4817536743	-125	-0.390
-0.9297764858	-0.3681245530	-200	-0.625
-0.9685831613	-0.2486898867	-222	-0.693
-0.9921147014	-0.1253332332	-225	-0.703
-1	0	-320	-1
