-0.9921147014	0.1253332332	-205	-0.931
-0.9685831613	0.2486898867	-202	-0.918
-0.9297764858	0.3681245530	-180	-0.818
-0.8763066799	0.4817536743	-160	-0.727
-0.8090169943	0.5877852524	-165	-0.75
-0.7289686273	0.6845471060	-155	-0.704
-0.6374239896	0.7705132429	-120	-0.545
-0.5358267944	0.8443279258	-125	-0.568
-0.4257792911	0.9048270527	-90	-0.409
-0.3090169940	0.9510565164	-80	-0.363
-0.1873813144	0.9822872508	-85	-0.386
-0.06279052046	0.9980267284	-80	-0.363
0.06279052046	0.9980267284	-36	-0.181
0.1873813144	0.9822872508	-30	-0.136
0.3090169940	0.9510565164	-5	0.022
0.4257792911	0.9048270527	0	0
0.5358267944	0.8443279258	36	0.181
0.6374239896	0.7705132429	50	0.227
0.7289686273	0.6845471060	55	0.25
0.8090169943	0.5877852524	80	0.363
0.8763066799	0.4817536743	120	0.545
0.9297764858	0.3681245530	130	0.590
0.9685831613	0.2486898867	127	0.577
0.9921147014	0.1253332332	160	0.727
1	0	210	0.954
0.9921147014	-0.1253332332	220	1
0.9685831613	-0.2486898867	210	0.954
0.9297764858	-0.3681245530	180	0.818
0.8763066799	-0.4817536743	160	0.727
0.8090169943	-0.5877852524	159	0.722
0.7289686273	-0.6845471060	155	0.704
0.6374239896	-0.7705132429	150	0.681
0.5358267944	-0.8443279258	120	0.545
0.4257792911	-0.9048270527	130	0.590
0.3090169940	-0.9510565164	90	0.409
0.1873813144	-0.9822872508	69	0.318
0.06279052046	-0.9980267284	50	0.227
-0.06279052046	-0.9980267284	20	0.090
-0.1873813144	-0.9822872508	30	0.136
-0.3090169940	-0.9510565164	0	0
-0.4257792911	-0.9048270527	-10	-0.045
-0.5358267944	-0.8443279258	-20	-0.090
-0.6374239896	-0.7705132429	-69	-0.318
-0.7289686273	-0.6845471060	-60	-0.272
-0.8090169943	-0.5877852524	-100	-0.454
-0.8763066799	-0.4817536743	-110	-0.5
-0.9297764858	-0.3681245530	-124	-0.568
-0.9685831613	-0.2486898867	-160	-0.727
-0.9921147014	-0.1253332332	-170	-0.772
-1	0	-220	-1
