-0.9921147014	0.1253332332	-261	-0.935
-0.9685831613	0.2486898867	-277	-0.992
-0.9297764858	0.3681245530	-271	-0.971
-0.8763066799	0.4817536743	-273	-0.978
-0.8090169943	0.5877852524	-256	-0.914
-0.7289686273	0.6845471060	-256	-0.914
-0.6374239896	0.7705132429	-249	-0.892
-0.5358267944	0.8443279258	-205	-0.732
-0.4257792911	0.9048270527	-200	-0.714
-0.3090169940	0.9510565164	-203	-0.728
-0.1873813144	0.9822872508	-160	-0.571
-0.06279052046	0.9980267284	-179	-0.642
0.06279052046	0.9980267284	-140	-0.5
0.1873813144	0.9822872508	-137	-0.492
0.3090169940	0.9510565164	-84	-0.3
0.4257792911	0.9048270527	-105	-0.375
0.5358267944	0.8443279258	-85	-0.303
0.6374239896	0.7705132429	-40	-0.142
0.7289686273	0.6845471060	-60	-0.217
0.8090169943	0.5877852524	-20	-0.071
0.8763066799	0.4817536743	0	0
0.9297764858	0.3681245530	30	0.107
0.9685831613	0.2486898867	35	0.125
0.9921147014	0.1253332332	50	0.178
1	0	180	0.642
0.9921147014	-0.1253332332	230	0.821
0.9685831613	-0.2486898867	260	0.928
0.9297764858	-0.3681245530	232	0.828
0.8763066799	-0.4817536743	232	0.828
0.8090169943	-0.5877852524	255	0.910
0.7289686273	-0.6845471060	228	0.814
0.6374239896	-0.7705132429	250	0.892
0.5358267944	-0.8443279258	235	0.839
0.4257792911	-0.9048270527	185	0.660
0.3090169940	-0.9510565164	200	0.714
0.1873813144	-0.9822872508	145	0.517
0.06279052046	-0.9980267284	140	0.5
-0.06279052046	-0.9980267284	80	0.285
-0.1873813144	-0.9822872508	82	0.292
-0.3090169940	-0.9510565164	25	0.089
-0.4257792911	-0.9048270527	0	0
-0.5358267944	-0.8443279258	-20	-0.071
-0.6374239896	-0.7705132429	-85	-0.303
-0.7289686273	-0.6845471060	-122	-0.428
-0.8090169943	-0.5877852524	-100	-0.357
-0.8763066799	-0.4817536743	-155	-0.553
-0.9297764858	-0.3681245530	-160	-0.571
-0.9685831613	-0.2486898867	-170	-0.607
-0.9921147014	-0.1253332332	-210	-0.75
-1	0	-280	-1
